,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
115,116,Márton Dárdai,de GER,DF,Hertha BSC,19,2002,12,755,63,24.7,8.4,9,79,5,3,16,7,1.08,7,20,-13,-1.55,-0.73,7.5,16.0,-8.6,-1.02,-0.53,Matches
116,117,Vladimír Darida,cz CZE,MF,Hertha BSC,30,1990,25,1786,71,58.4,19.8,23,76,9,2,24,5,0.88,20,42,-22,-1.11,-0.26,22.2,37.5,-15.3,-0.77,-0.35,Matches
117,118,Alphonso Davies,ca CAN,DF,Bayern Munich,20,2000,22,1740,79,56.9,19.3,20,83,14,2,37,0,2.32,59,21,+38,+1.97,+0.47,53.7,22.0,+31.7,+1.64,-0.02,Matches
118,119,Saulo Decarli,ch SUI,DF,Bochum,29,1992,1,9,9,0.3,0.1,0,,0,1,9,4,0.00,0,0,0,0.00,+0.41,0.1,0.0,+0.1,+1.18,+1.55,Matches
119,120,Laurenz Dehl,de GER,MF,Union Berlin,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
120,121,Thomas Delaney,dk DEN,MF,Dortmund,29,1991,1,18,18,0.6,0.2,0,,0,1,18,1,3.00,0,1,-1,-5.00,-6.01,0.1,0.7,-0.6,-3.24,-3.77,Matches
121,122,Kerem Demirbay,de GER,MF,Leverkusen,28,1993,29,2049,71,67.0,22.8,23,83,12,6,25,0,1.69,46,29,+17,+0.75,-0.68,43.8,34.9,+8.9,+0.39,-0.48,Matches
122,123,Ermedin Demirović,ba BIH,FW,Freiburg,23,1998,31,871,28,28.5,9.7,9,64,0,22,14,2,1.71,23,13,+10,+1.03,+0.95,17.2,15.1,+2.1,+0.22,+0.13,Matches
123,124,Mike van der Hoorn,nl NED,DF,Arminia,28,1992,1,14,14,0.5,0.2,0,,0,1,14,0,1.00,0,0,0,0.00,+0.77,0.1,0.4,-0.4,-2.36,-1.25,Matches
124,125,Moussa Diaby,fr FRA,"FW,MF",Leverkusen,22,1999,32,2760,86,90.2,30.7,32,86,17,0,,0,2.00,77,41,+36,+1.17,+2.07,62.6,42.5,+20.1,+0.66,+1.07,Matches
125,126,Daniel Didavi,de GER,"MF,FW",Stuttgart,31,1990,10,277,28,9.1,3.1,2,68,1,8,18,5,0.90,3,7,-4,-1.30,-0.85,4.8,8.1,-3.3,-1.07,-0.79,Matches
